50,Excelente Hotel en Centro de Monterrey,"Si buscas un hotel en el Centro de Monterrey Hotel Krystal Monterrey es tu mejor opción, cuenta con habitaciones amplias, escritorio para trabajar y sobretodo con suficiente luz. La limpieza es impecable. Les recomiendo el restaurante con un desayuno buffet muy completo, para la hora de la comida su platillo especial ""oreja de elefante"" deliciosa."
50,Tus eventos en el Krystal,"Muy buen servicio y atención del todo el personal, en especial el área de Banquetes. El desayuno buffet estuvo delicioso y la variedad de platillos también es muy buena. Recomiendo ampliamente que realicen sus eventos en el Hotel Krystal en Monterrey."
50,Excelente opción para eventos y grupos.,"Excelente servicio y atención personal. Muy buena coordinación en el area de Grupos y Eventos. Totalmente recomendables para ser hotel sede de eventos internacionales y nacionales de todos los ámbitos, en mi caso para un evento deportivo panamericano."
50,Geting ready,"El mes pasado mi prima tuvo su getting y me encantó el hotel, desde que la acompañé por información del getting y la señorita Cintia muy amable y respondiendo dudas. El próximo año me caso y quiero hacerlo ahí tambn."
50,Realizamos un evento y nuestros clientes se fueron satisfechos de la comodidad de las instalaciones.,"Excelente servicio y atención al cliente.Sobre todo de las Lic. Fernanda y la Lic. Gaby. En todo momento estuvieron al pendiente de nuestras necesidades. Muchas gracias por la atención prestada, seguramente nos verán muy pronto!!."
30,Viaje de negocios,"Solo funciona un elevador y unicamente para subir, se puede apoyar con los de personal pero estan en un estado lamentable, la habitación comoda y amplia, por su parte el desayuno completo aunque algo caro, el personal en general amable."
50,Excelente servicio,"La ubicación es may buena, ya que da acceso a muchos lugares más, las habitaciones muy comobas y limpias. El restaurante, la comida muy rica y la atención excelente, principalmente por el mesero Gerardo"
50,Diez de diez,"El hotel es muuuy bonito, tiene habitaciones amplias y el personal es muy agradable, el restaurante cuenta con un desayuno muy amplio y la gerente Fernanda muy amable nos mostró los salones para eventos, ampliamente recomendado."
50,GETTING READY (BODA),Alquilé una habitación para la noche previa a mi boda y el getting ready por la mañana. La atención de Sofía ha sido excelente. Aclara todas tus dudas y sabe tratar muy bien al cliente. El hotel es muy flexible con las novias y eso para mí fue el PLUS que buscaba para mi hospedaje.
30,Hotel Viejo,"El hotel es muy viejo y no tiene muy buen mantenimiento. Tuvimos 2 habitaciones, en una se salía el agua del lavamanos, la otra de la bañera, el agua llegó hasta la habitación. Tenían espacio de refri, una con pero no servía y la otra sin. La verdad no lo aconsejo"
